text,true_label,W_pred,W_conf,W_p_unwanted,A_pred,A_conf,A_p_unwanted,p_unwanted_gap,category,conf_margin
Isn't housing and service sector inflation a significant component of the CPI data?,legit,unwanted,0.5215,0.5215,legit,0.9111,0.0889,-0.4327,W_flag_A_clear,0.3896
""" The coming week is expected to be one of consolidation, as the market may attempt to get back on track, with a focus on inflation data from both domestic and U.S. markets, while aligning with trends in global exchanges. However, the domes",legit,unwanted,0.5433,0.5433,legit,0.8797,0.1203,-0.4231,W_flag_A_clear,0.3364
""" Due to escalating geopolitical tensions, particularly the intensifying conflict between Israel and Iran, the situation has further worsened. As a result, foreign investors have also reduced their risk exposure. Additionally, given the hig",legit,unwanted,0.7103,0.7103,legit,0.841,0.159,-0.5512,W_flag_A_clear,0.1307
"Due to traders preparing for a rate cut by the Federal Reserve next month, consistent U.S. inflation data eased market tension on Wall Street, leading to a slight rise in Asian stock markets on Thursday morning. The Japanese stock market in",legit,unwanted,0.8492,0.8492,legit,0.7711,0.2289,-0.6202,W_flag_A_clear,-0.0781
""" In the domestic market, after a day of significant volatility, stocks closed flat on Monday, August 12. The Sensex and Nifty ended with slight declines, while mid-cap and small-cap stocks performed strongly. The market opened lower in the",legit,unwanted,0.9123,0.9123,legit,0.6217,0.3783,-0.5339,W_flag_A_clear,-0.2906
""" In the stock market, specific stock actions are underway. The market showed a sideways consolidation before the long weekend ended. Since this week has a short weekend, there was not much volatility in the market. The market might also re",legit,unwanted,0.9619,0.9619,legit,0.5101,0.4899,-0.472,W_flag_A_clear,-0.4518
"Pack on 8089XXX424 will expire soon! Get free access to 1 channel on Airtel Xstream App, 1.5GB/day, UL calls for 84 days at Rs719. i.airtel.in/RechargeNow",unwanted,unwanted,0.5186,0.5186,unwanted,0.9891,0.9891,0.4705,agree_conf_gap,0.4705
"Pack on 8089XXX424 will expire soon! Get free access to 1 channel on Airtel Xstream App, 1.5GB/day, UL calls for 84 days at Rs719. i.airtel.in/RCHKER",unwanted,unwanted,0.5281,0.5281,unwanted,0.9888,0.9888,0.4607,agree_conf_gap,0.4607
Grab your favs before they are gone! Get Upto 60% Off on Watches & more at the Shoppers Stop Sale Click bit.ly/SS_Wch to shop now or walk into our store + get offers on First Citizen Citi credit card & HDFC Bank Cards Click bit.ly/SSEssTC f,unwanted,unwanted,0.5509,0.5509,unwanted,0.9997,0.9997,0.4488,agree_conf_gap,0.4488
"MAHA CashBack Weekend Sale@SMART Point Store,B2G1 Parle Milano 250g,B2G1 CloseUp Red Paste 300g + Assured Extra 10% CashBack,Click bit.ly/384zM6D TC",unwanted,unwanted,0.5493,0.5493,unwanted,0.998,0.998,0.4486,agree_conf_gap,0.4487
"50% ALERT: for your daily Data usage. Recharge with 118 get 12GB, validity as per the current pack. Click i.airtel.in/Rcharge",unwanted,unwanted,0.5603,0.5603,unwanted,0.9972,0.9972,0.4368,agree_conf_gap,0.4369
"Last chance to save Rs 600 on annual recharge! Recharge now with Rs. 2999 before pack prices go up. Enjoy UL Calls, 2GB/day & 100 SMS/day for 365 days. Hurry now ! i.airtel.in/RCH4G",unwanted,unwanted,0.5516,0.5516,unwanted,0.9675,0.9675,0.4158,agree_conf_gap,0.4159
Rs.250 credited as FREE UNLIMITED Cash Points in your account to shop at UNLIMITED Fashion Store. Valid till 29th Aug 2021. TnC,unwanted,unwanted,0.5838,0.5838,unwanted,0.9953,0.9953,0.4115,agree_conf_gap,0.4115
Alert!90%: data is consumed. Get 5GB + FREE 2GB (EXCLUSIVE on Airtel Thanks App) at just Rs98 | valid till your current pack. Click i.airtel.in/UnlimitedData-1,unwanted,unwanted,0.5881,0.5881,unwanted,0.9996,0.9996,0.4114,agree_conf_gap,0.4115
Rs.250 credited as FREE UNLIMITED Cash Points in your account to shop at UNLIMITED Fashion Store. Valid till 15th Aug 2021. TnC,unwanted,unwanted,0.5838,0.5838,unwanted,0.995,0.995,0.4112,agree_conf_gap,0.4112
Rs.250 credited as FREE UNLIMITED Cash Points in your account to shop at UNLIMITED Fashion Store. Valid till 22nd Aug 2021. TnC,unwanted,unwanted,0.5838,0.5838,unwanted,0.995,0.995,0.4112,agree_conf_gap,0.4112
"Limited period offer! Get 30 day free Airtel Xstream Fiber with zero intallation cost , 350+ TV channels and 16+ OTT subscription at just Rs1099. Explore now u.airtel.in/unlimiteddata11",unwanted,unwanted,0.5916,0.5916,unwanted,0.9924,0.9924,0.4008,agree_conf_gap,0.4008
"Hi Jithu, Your Birthday celebration has begun at shoppersstop.com Click bit.ly/SSMarBD Use code HB03 & get Rs. 250 off on shopping of Rs. 1500 TnC",unwanted,unwanted,0.5981,0.5981,unwanted,0.9989,0.9989,0.4008,agree_conf_gap,0.4008
"Airtel Pack on 8089XXX424 will expire soon! Recharge now to enjoy 1.5GB/day, 100 SMS/day & UL calls for 28 days in Rs239. i.airtel.in/Best-offer",unwanted,unwanted,0.5872,0.5872,unwanted,0.9866,0.9866,0.3995,agree_conf_gap,0.3994
Your WYNK Premium subscription is expiring. To enjoy ad-free music on WYNK for 28 days & 5GB till existing pack validity recharge with Rs98. i.airtel.in/RechargeNow,unwanted,unwanted,0.6012,0.6012,unwanted,0.9957,0.9957,0.3945,agree_conf_gap,0.3945
Congratulations!Rs20 CASHBACK coupon credited to your Vi App bit.ly/ViRchg9 .Login with mob no. to claim. Available for 30 days on UL Daily Data packs of Rs249+,unwanted,unwanted,0.6035,0.6035,unwanted,0.9867,0.9867,0.3831,agree_conf_gap,0.3832
In mobile,legit,legit,0.5587,0.4413,legit,0.9297,0.0703,-0.371,agree_conf_gap,0.371
"Rush! Your favourite Apparel, Fragrance and Footwear at upto 50% OFF only at shoppersstop.com Click bit.ly/SS_Mn use code OC10K get FLAT 10% OFF on Rs2500. T&C",unwanted,unwanted,0.6326,0.6326,unwanted,0.9983,0.9983,0.3657,agree_conf_gap,0.3657
"This week's trading has successfully concluded. Due to various factors, the market has been in a downtrend, with the NIFTY index oscillating within a range. Today, it closed at 24,541 points, which can be considered a positive start. Althou",legit,legit,0.5793,0.4207,legit,0.9345,0.0655,-0.3551,agree_conf_gap,0.3552
Friday of the year you're eagerly waiting for is finally here! PANTALOONS BLACK FRIDAY SALE is back from 24-27 NOV! Get your whishlist shopped with FLAT 25% OFF on our exclusive merchandise. Visit ur nearby Pantaloons store or Shop online t,unwanted,unwanted,0.6182,0.6182,unwanted,0.9714,0.9714,0.3533,agree_conf_gap,0.3532
Congratulations!Rs40 CASHBACK coupon credited to your Vi App bit.ly/ViRchg9 .Login with mob no. to claim. Available for 60 days on UL Daily Data packs of Rs399+,unwanted,unwanted,0.6376,0.6376,unwanted,0.9869,0.9869,0.3493,agree_conf_gap,0.3493
"An epic offer on the Galaxy S21 Ultra 5G with 108MP Camera and 8K Video Snap. Own @ Rs.95999. To know more on whatsapp, click rml.fm/pgTBraaa .TnC. - Samsung",unwanted,unwanted,0.6291,0.6291,unwanted,0.9734,0.9734,0.3442,agree_conf_gap,0.3443
Your FREE access to Wynk Premium is ACTIVE. Enjoy Ad free music with unlimited downloads & unlimited hello tunes: bit.ly/WynkPlat,unwanted,unwanted,0.6433,0.6433,unwanted,0.9875,0.9875,0.3442,agree_conf_gap,0.3442
"1 year FREE subscription of Amazon Prime & Disney+Hotstar + FREE 30 days on Airtel Xstream Fiber + Rs 500 cashback. Switch to Airtel Black now, click i.airtel.in/blackPreDSL",unwanted,unwanted,0.6646,0.6646,unwanted,0.9997,0.9997,0.3351,agree_conf_gap,0.3351
"Watch exciting T20 matches everyday, LIVE on Disney+ Hotstar. Get 1 year Disney+ Hotstar mobile subscription with Vi''s 501 / 701 / 901 recharges. For details, click bit.ly/ViHotstar12",unwanted,unwanted,0.6608,0.6608,unwanted,0.9941,0.9941,0.3332,agree_conf_gap,0.3333
""" If the CPI report meets expectations, it will indicate that inflation remains on a downward trend. However, the slowdown in housing costs that began in June is expected to continue. This category accounts for about one-third of the overal",legit,legit,0.5962,0.4038,legit,0.9294,0.0706,-0.3332,agree_conf_gap,0.3332
"The S&P 500 Index closed higher on Wednesday, marking its fifth consecutive day of gains, as the latest U.S. inflation data reassured investors betting on a Federal Reserve rate cut next month.",legit,legit,0.5901,0.4099,legit,0.9005,0.0995,-0.3104,agree_conf_gap,0.3104
"Dear Jithu, we noticed you have been missing out on all the best offers & deals at shoppersstop.com So here's something exclusively for YOU... Click bit.ly/MissFeb Use code F10N5 & get 10% off on your purchase T&C, on min bill of Rs.2000",unwanted,unwanted,0.6941,0.6941,unwanted,0.9988,0.9988,0.3047,agree_conf_gap,0.3047
"The Shoppers Stop Showstoppers Beauty Sale IS HERE!!! Enjoy 4 Days of Upto 50% Off on the Hottest Brands in Cosmetics, Skincare, Fragrances & more at bit.ly/SSSSBAS & our app. Click bit.ly/SSWAShp & say Hi to opt-in & start shopping on What",unwanted,unwanted,0.696,0.696,unwanted,0.999,0.999,0.303,agree_conf_gap,0.303
"Rs299 recharged! Enjoy Unlimited Calls+4GB/Day+100SMS/Day. Valid for 28 Days. Your Vi-exclusive Night & Weekend Data benefits activated, click bit.ly/Vi-WDR",unwanted,legit,0.5136,0.4864,unwanted,0.9982,0.9982,0.5118,miss_catch_correct,0.4846
Get FREE 2GB DATA on Thanks App! Claim your FREE GIFT on Airtel Thanks App.Tnc * Click here i.airtel.in/2gb_rc2,unwanted,legit,0.5162,0.4838,unwanted,0.9997,0.9997,0.5158,miss_catch_correct,0.4835
"Biggest Diwali Offers@ VISHAL Mixer Grinder 3Jar(Mrp 2499) 45%OFF- Rs 1374 ONLY TODAY + FREE-VIP Trolley,Duffle Bag + 7.5% SBI Cashback TnC",unwanted,legit,0.5136,0.4864,unwanted,0.9917,0.9917,0.5053,miss_catch_correct,0.4781
"Alert! Your Vi Unlimited pack EXPIRES in 7 Days. Recharge with best offers: bit.ly/ViRC20 1)299:5GB+4GB/D+UL,28D 2)699:4GB/D+UL,84D",unwanted,legit,0.5351,0.4649,unwanted,0.9766,0.9766,0.5117,miss_catch_correct,0.4415
