dataset,model,text,is_false_positive,p_unwanted,msg_type,digit_count,count_currency,message_length,urgency_count,count_links,has_url,uppercase_ratio
india,W,Still power and network issues am facing,False,0.0133,other,0.0,0.0,40.0,0.0,0.0,0.0,0.029
india,W,Team make sure everyone complete Verizon registration process today without fail,False,0.0501,other,0.0,0.0,80.0,0.0,0.0,0.0,0.029
india,W,Is it working for u kk? On mobile,False,0.0593,other,0.0,0.0,33.0,0.0,0.0,0.0,0.08
india,W,"Don??????t get your hopes up. Even if such an opportunity arises, it doesn??????t necessarily mean we??????ll be able to sell in time",False,0.0199,other,0.0,0.0,133.0,0.0,0.0,0.0,0.109
india,W,Good morning sir Check in,False,0.0076,other,0.0,0.0,25.0,0.0,0.0,0.0,0.095
india,W,Hi team follow this book to make u r self families with switching,False,0.1384,other,0.0,0.0,65.0,0.0,0.0,0.0,0.019
india,W,"Panic is the biggest enemy of investment, calmness is the biggest helper of investment????????",False,0.0443,other,0.0,0.0,94.0,0.0,0.0,0.0,0.065
india,W,Thank you for your hard work. Ms. Rama also contacted me today to express her condolences. Thank you very much for your efforts????????,False,0.0674,other,0.0,0.0,135.0,0.0,0.0,0.0,0.075
india,W,"Lowering loan interest rates should increase the bank's lending business, which in turn boosts profits. It should be a positive development",False,0.0535,other,0.0,0.0,139.0,0.0,0.0,0.0,0.017
india,W,Yes we'll have to go over it a few times,False,0.0263,other,0.0,0.0,40.0,0.0,0.0,0.0,0.033
india,W,No power in Laptop,False,0.0115,other,0.0,0.0,18.0,0.0,0.0,0.0,0.133
india,W,Plz join without miss,False,0.0173,other,0.0,0.0,21.0,0.0,0.0,0.0,0.056
india,W,Super,False,0.0237,other,0.0,0.0,5.0,0.0,0.0,0.0,0.2
india,W,Bye,False,0.0213,other,0.0,0.0,3.0,0.0,0.0,0.0,0.333
india,W,Should the price touch the retracement levels?,False,0.0563,other,0.0,0.0,46.0,0.0,0.0,0.0,0.026
india,W,24000 ce and 24000 pe both are will be 0 today expiry contract in nifty because i think nifty close around 24000 level,False,0.1044,other,16.0,0.0,118.0,0.0,0.0,0.0,0.0
india,W,I made a 15% profit Thank you Professor,False,0.0185,other,2.0,0.0,39.0,0.0,0.0,0.0,0.103
india,W,Selling LLOYDS was well-timed,False,0.0161,other,0.0,0.0,29.0,0.0,0.0,0.0,0.28
india,W,Everything is on the rise now,False,0.0351,other,0.0,0.0,29.0,0.0,0.0,0.0,0.042
india,W,Taking time,False,0.0088,other,0.0,0.0,11.0,0.0,0.0,0.0,0.1
india,W,??,False,0.0151,other,0.0,0.0,2.0,0.0,0.0,0.0,0.0
india,W,"Falling is rising, stay calm, and join me in seizing the opportunity to buy new multi-billion stocks tomorrow.",False,0.0371,bank/transactional,0.0,0.0,110.0,0.0,0.0,0.0,0.011
india,W,Tried it,False,0.0072,other,0.0,0.0,8.0,0.0,0.0,0.0,0.143
india,W,Yes kk,False,0.0124,other,0.0,0.0,6.0,0.0,0.0,0.0,0.2
india,W,Which teams got issue,False,0.0087,other,0.0,0.0,21.0,0.0,0.0,0.0,0.056
india,W,Does this mean that more foreign capital will flow into India?,False,0.0252,other,0.0,0.0,62.0,0.0,0.0,0.0,0.039
india,W,If the data is unfavorable it will definitely exacerbate the panic.,False,0.0161,recharge/plan,0.0,0.0,67.0,0.0,0.0,0.0,0.018
india,W,""" Due to escalating geopolitical tensions, particularly the intensifying conflict between Israel and Iran, the situation has further worsened. As a result, foreign investors have also reduced their risk exposure. Additio",True,0.7103,bank/transactional,0.0,0.0,517.0,0.0,0.0,0.0,0.019
