test_text,true_label,A_pred,char_cosine_max,jaccard_max,bucket,nearest_train_text
Still power and network issues am facing,ham,legit,0.6944,0.3,novel_lt_0.9,I am facing some network issue
Team make sure everyone complete Verizon registration process today without fail,ham,legit,0.2986,0.1667,novel_lt_0.9,Hi everyone
FLAT Rs20 CASHBACK for smart savers like you! Available on first 3 UPI transactions only on Airtel Thanks App. Click i.airtel.in/get_Rs20,spam,unwanted,0.773,0.7692,novel_lt_0.9,"FLAT Rs30 CASHBACK for smart savers like you! Available on first 3 UPI transactions only on Airtel Thanks App, T&C. Click i.airtel.in/get_Rs30"
Is it working for u kk? On mobile,ham,legit,0.4662,0.3077,novel_lt_0.9,It's working now
"Don??????t get your hopes up. Even if such an opportunity arises, it doesn??????t necessarily mean we??????ll be able to sell in time",ham,legit,0.3593,0.1364,novel_lt_0.9,It??????s quite normal to learn more about things you don??????t understand
Good morning sir Check in,ham,legit,0.8885,0.8,novel_lt_0.9,Good morning Check in
Hi team follow this book to make u r self families with switching,ham,legit,0.4604,0.2143,novel_lt_0.9,Hi team please follow this book for switching and good thing about this book is you can practice the topologies in packet tracer
"Panic is the biggest enemy of investment, calmness is the biggest helper of investment????????",ham,legit,0.2765,0.1765,novel_lt_0.9,"The market is volatile at the moment, so the most stable investment method is"
Thank you for your hard work. Ms. Rama also contacted me today to express her condolences. Thank you very much for your efforts????????,ham,legit,0.2835,0.1818,novel_lt_0.9,Thank you KK
"Lowering loan interest rates should increase the bank's lending business, which in turn boosts profits. It should be a positive development",ham,legit,0.3455,0.2143,novel_lt_0.9,"This friend has a clear understanding. When interest rates are lowered, the bank's interest income decreases significantly, but the cost of lending usually doesn't decrease. As a result, the bank's pr"
"Dear User, Receive Rs.10,000 to Wallet Now - http://gmg.im/cvztd4 Finance Guru",spam,unwanted,0.2516,0.2222,novel_lt_0.9,"Dear User, Vistor Id - 7538XXX. Loan Application is ready to be Processed for Rs.2,50,000. Direct Transfer to Bank A/C. Click - http://gmg.im/bgzjS5 Fast Loans"
Yes we'll have to go over it a few times,ham,legit,0.2991,0.2143,novel_lt_0.9,Yes
No power in Laptop,ham,legit,0.696,0.5,novel_lt_0.9,Laptop
Plz join without miss,ham,legit,0.2665,0.2,novel_lt_0.9,Only on Vi-Watch latest movies without Data worries! Nonstop Data from 12am to 6am without pack deduction. Valid on UL packs starting Rs249. Click bit.ly/Vi-WDR
Super,ham,legit,0.3306,0.0357,novel_lt_0.9,"Dads are superheroes who don't wear capes. This Father's Day gift your superhero a super gift from Shoppers Stop. Click shsp.in to choose from the latest collection of Mens Wear, Watches, Wallets, Fra"
Bye,ham,legit,0.0469,0.0,novel_lt_0.9,Akshay Kumar ki latest film Laxmii dekhiye Disney+ Hotstar VIP par. Vi ke naye 401 recharge pe paiye 1yr Disney+ Hotstar VIP & 100GB data (3GB/day +16GB) + Unlimited Calls; 28days. Click bit.ly/ViHots
Should the price touch the retracement levels?,ham,legit,0.5456,0.3,novel_lt_0.9,What Fibonacci retracement levels should I use?
We know you'll love this offer! Up To 80% + Extra 20% Off on beauty & personal care Only @ Beauty Blowout Sale | Code: BEAUTYFIRST15 http://smsd.in/bsWOBLkRn,spam,unwanted,0.4279,0.3333,novel_lt_0.9,End Of Reason Sale welcomes you with 50-80% Off Offer valid on beauty & personal care Extra 15% Off on 1st order! Buy now http://smsd.in/bgXG5qNst
24000 ce and 24000 pe both are will be 0 today expiry contract in nifty because i think nifty close around 24000 level,ham,legit,0.2249,0.1818,novel_lt_0.9,Nifty will try to reclaim 24300 today.
TRAI never sends any message or makes any call for verification/ disconnection/ reporting unlawful activities of mobile numbers. Beware of such messages/calls in the name of TRAI. Any call or message ,spam,unwanted,0.2283,0.1897,novel_lt_0.9,Beware of fake calls claiming that your registered mobile number will be blocked. To check/report mobile numbers in your name visit https://sancharsaathi.gov.in - Dept of Telecom
I made a 15% profit Thank you Professor,ham,legit,0.4182,0.4,novel_lt_0.9,Don't worry the professor will
"Weekend Deals @SMART Point Store,B2G1 Parle Krackjack/Monaco 800g,Rs 30 OFF Pears Pure&Gentle Soap 125gX3,Date Crown Fard 500g Rs 185,Click bit.ly/2Pt4boF T&C",spam,unwanted,0.3085,0.3256,novel_lt_0.9,"Weekend Deals @SMART Point Store,Rs 20 OFF Oreo Choco 300g,Rs 36 OFF Lux Soft Touch Soap 3X150g ,Good Life Cashew 500g Rs 415,Click bit.ly/2wcq3h3 T&C"
"While receiving any international call, if an Indian number or no number is displayed on your phone, kindly inform on the DoT toll-free number 1800110420/1963.",spam,unwanted,0.8826,0.84,novel_lt_0.9,"While receiving international call if an Indian number or no number is displayed on your phone, please inform the toll free number 1800110420/1963"
"Wednesday Bonus@JioMart,Bangalore!Onion Rs 41/Kg,Sweet Corn Rs 8/Pc,Banana Robusta Box (6Pc) Rs 29,Also at SMART &SMART Point store bit.ly/3ESiOJm 10Nov,TC",spam,unwanted,0.5719,0.5625,novel_lt_0.9,"Wednesday Bonus@JioMart,Bangalore!Onion Rs 44/Kg,Sweet Corn Rs 12/Pc,Apple Simla Rs 134/Kg,Also at SMART &SMART Point store bit.ly/3xeY8ZE 24Nov,TC"
"India's youngest Telecom brand, Vi is soon turning ONE. We thank you for your continued love & support! Do read a special message from Vi MD & CEO - click to read, https://bit.ly/1YearOfVi",spam,unwanted,0.165,0.2826,novel_lt_0.9,I??????ve already sent you a private message Thank you
Selling LLOYDS was well-timed,ham,legit,0.3185,0.1429,novel_lt_0.9,Mr Arvind Singh please remember to notify me when it's time to sell LLOYDS
Everything is on the rise now,ham,legit,0.5318,0.3,novel_lt_0.9,Everything will be alright
Taking time,ham,legit,0.7875,0.4,novel_lt_0.9,It's taking some time
??,ham,legit,0.5837,0.0,novel_lt_0.9,Good ??
"Falling is rising, stay calm, and join me in seizing the opportunity to buy new multi-billion stocks tomorrow.",ham,legit,0.3453,0.2,novel_lt_0.9,Yes seizing opportunities is crucial
Don't lose out on first 30 days FREE of any new Airtel service! Just upgrade to Airtel Black & get OTT + TV Channels + Superfast WiFi. i.airtel.in/blackPreDSL,spam,unwanted,0.9138,0.7586,near_dup_ge_0.9,"First 30 days FREE of any new Airtel service, just for YOU! Just upgrade to Airtel Black & get OTT + TV Channels + Superfast WiFi. i.airtel.in/blackPreDSL"
Tried it,ham,legit,0.4997,0.4,novel_lt_0.9,I tried it's not reachable
Get Lifetime FREE Card + 5% Unlimited Cashback with Flipkart Axis Bank Credit Card. Hurry! Limited Period Offer. Apply Now: http://fkrt.it/KsOYBOuuuN,spam,unwanted,0.808,0.913,novel_lt_0.9,Get Lifetime FREE Card + 5% Unlimited Cashback with Flipkart Axis Bank Credit Card. Hurry! Limited Period Offer. Apply Now: http://fkrt.it/PgRUr8uuuN
Yes kk,ham,legit,0.7522,0.5,novel_lt_0.9,Yes
Buy1 Get1 FREE with Lenskart Gold Membership this Valentine & 14% Cashback on all orders. Explore the most LOVED & TRENDING Styles!TnC App lskt.me/valentine,spam,unwanted,0.8799,0.8,novel_lt_0.9,Enjoy Buy1 Get1 FREE with Lenskart Gold Membership + 14% Cashback. Explore the most LOVED & TRENDING Styles!TnC App: lskt.me/valentine
Don't manage with just 2GB data. Get unlimited data for 1 day at just Rs.39. Click i.airtel.in/39dt,spam,unwanted,0.3508,0.3548,novel_lt_0.9,No data limit worries with Airtel's new data pack! Recharge with Rs.49 data pack and get unlimited data for one day. Click i.airtel.in/PP49
Which teams got issue,ham,legit,0.4583,0.3333,novel_lt_0.9,Hi team any issue ?
Check if your smartphone is 5G-ready on Airtel Thanks App. Click i.airtel.in/e/5G_airtel,spam,unwanted,0.7472,0.6842,novel_lt_0.9,Your Airtel SIM is 5G ready. Check now if your Smartphone is 5G enabled. Click i.airtel.in/e/5G_airtel
Does this mean that more foreign capital will flow into India?,ham,legit,0.338,0.1333,novel_lt_0.9,Foreign capital is the most unstable it can withdraw at any time based on any news
If the data is unfavorable it will definitely exacerbate the panic.,ham,legit,0.325,0.2,novel_lt_0.9,I will definitely inform earlier
